BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
1482598;55;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1486214;56;L;;gli;L i;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
1489963;56;i;;gli;L i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1494020;57;d;;dice;d i tS e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
1495740;57;i;;dice;d i tS e;;;;;;;;alta;anteriore;v;alta;anteriore;v
1497196;57;tS;;dice;d i tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
1505398;57;e;;dice;d i tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1512057;-1;<p:>;;;;;;;;;;;;;;;;
1523831;58;j;;Hiii;j j i;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
1531108;58;j;;Hiii;j j i;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
1536047;58;i;;Hiii;j j i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1561978;59;j;;Hiii;j j i;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
1568108;59;j;;Hiii;j j i;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
1576575;59;i;;Hiii;j j i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1596685;-1;<p:>;;;;;;;;;;;;;;;;
1619087;60;v;;Vuoi;v w O i;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1620146;60;w;;Vuoi;v w O i;;;;;;;;approssimante;labio-velare;sonora;approssimante;labio-velare;sonora
1622395;60;O;;Vuoi;v w O i;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
1623762;60;i;;Vuoi;v w O i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1627334;61;v;;venire;v e n i r e;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1628437;61;e;;venire;v e n i r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1632582;61;n;;venire;v e n i r e;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
1635669;61;i;;venire;v e n i r e;;;;;;;;alta;anteriore;v;alta;anteriore;v
1641799;61;r;;venire;v e n i r e;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1643828;61;e;;venire;v e n i r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1648370;62;a;;a;a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1654412;63;k;;cavalcare;k a v a l k a r e;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
1656969;63;a;;cavalcare;k a v a l k a r e;;;;;;;;bassa;centrale;v;bassa;centrale;v
1660497;63;v;;cavalcare;k a v a l k a r e;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1662526;63;a;;cavalcare;k a v a l k a r e;;;;;;;;bassa;centrale;v;bassa;centrale;v
1664687;63;l;;cavalcare;k a v a l k a r e;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1673904;63;k;;cavalcare;k a v a l k a r e;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
