word,phoneme,phoneme_surprisal
il,i,5.27046923230341
il,l,1.531612464387914
re,r,0.6715529319660953
re,e,0.03042246268519942
mandò,m,3.7307539688667926
mandò,a,3.3329243899910685
mandò,n,1.1820251932774744
mandò,d,0.5788360042355971
mandò,O,5.171292998503055
gli,L,5.901415044231118
gli,i,0.004617779408075298
ambasciatori,a,1.4677247756248781
ambasciatori,m,2.279452510777037
ambasciatori,b,2.0034745330099653
ambasciatori,a,0.014832398040227132
ambasciatori,SS,-0.0
ambasciatori,a,-0.0
ambasciatori,t,-0.0
ambasciatori,o,0.03931463969592083
ambasciatori,r,-0.0
ambasciatori,i,0.0004108572493522739
per,p,4.084577409742444
per,e,0.6147991175541854
per,r,0.16126594444841366
tutto,t,3.8571829502103863
tutto,u,2.4664851731958697
tutto,tt,0.11371537839710061
tutto,o,0.9958772752768882
il,i,1.880985430069652
il,l,0.21402191934625495
mondo,m,0.313410286345182
mondo,o,0.008555759992692452
mondo,n,0.0005108867587910702
mondo,d,0.00014171123857721602
mondo,o,1.530523855849941e-05
a,a,4.702847701647812
cercare,tS,4.085334915660877
cercare,e,0.0789334215749518
cercare,r,0.10355011992743633
cercare,k,0.0006210617075914871
cercare,a,0.00154110653010013
cercare,r,0.01671772415191669
cercare,e,0.2583545819977081
l',l,4.971146140438622
uomo,w,13.714091571600477
uomo,O,-0.0
uomo,m,-0.0
uomo,o,0.0027823718516196373
contento,k,1.0920607996781706
contento,o,4.357285507159544
contento,n,0.4741014775565251
contento,t,3.858575766107703
contento,E,0.6083909496018092
contento,n,0.014196781162273263
contento,t,-0.0
contento,o,0.2747133378143883
gli,L,6.497769877389527
gli,i,0.07325519165942287
fu,f,4.084247339019174
fu,u,1.872505232151272
condotto,k,2.7981237834147654
condotto,o,1.2733186222019162
condotto,n,0.4190924653881083
condotto,d,6.233192625089248
condotto,o,1.358835630132386
condotto,tt,0.0011434317202548214
condotto,o,0.6525855999012015
un,u,6.889189615300744
un,n,0.5947909093107538
prete,p,2.831233911046695
prete,r,2.2209978128971617
prete,E,2.427972258418713
prete,t,0.2621910131820727
prete,e,0.0008197942265910805
sei,s,4.208965416400814
sei,E,3.1945722485515025
sei,i,4.949538622659433
contento,k,3.3190605598016583
contento,o,1.2179894021886328
contento,n,0.7733393654955096
contento,t,0.7915285604374924
contento,E,0.26093652987576804
contento,n,0.002163030474744779
contento,t,-0.0
contento,o,0.4088866109001546
gli,L,5.513887481980326
gli,i,0.034289345188363074
domandò,d,3.1990647573867372
domandò,o,5.1303321329912945
domandò,m,2.5971603264317986
domandò,a,0.03403730483312004
domandò,n,0.0007955997305683955
domandò,d,0.003709548656663895
domandò,O,4.1212074567657355
il,i,2.9690821346948875
il,l,0.34742580109868654
re,r,0.47028868134482227
re,e,0.014014463484846786
io,i,4.352439163713962
